no,exit,type,epochs,accuracy,timec,tim.el
1,0,1,20,0.76,267.54,490.78
2,0,1,30,0.78,401.31,736.17
3,0,1,40,0.77,535.08,981.56
4,0,1,50,0.78,668.85,1226.95
5,0,1,60,0.78,802.62,1472.34
6,0,1,70,0.78,936.39,1717.73
7,0,1,80,0.79,1070.16,1963.12
8,0,1,90,0.77,1203.93,2208.51
9,0,1,100,0.79,1337.70,2453.90
10,1,2,20,0.69,83.63,136.71
11,1,2,30,0.7,125.44,205.06
12,1,2,40,0.7,167.25,273.41
13,1,2,50,0.7,209.07,341.76
14,1,2,60,0.71,250.88,410.12
15,1,2,70,0.7,292.69,478.47
16,1,2,80,0.71,334.51,546.82
17,1,2,90,0.71,376.32,615.18
18,1,2,100,0.71,418.13,683.53
19,1,3,20,0.75,239.28,428.81
20,1,3,30,0.76,358.92,643.21
21,1,3,40,0.76,478.56,857.62
22,1,3,50,0.76,598.2,1072.02
23,1,3,60,0.77,717.84,1286.43
24,1,3,70,0.76,837.48,1500.83
25,1,3,80,0.76,957.12,1715.24
26,1,3,90,0.76,1076.76,1929.64
27,1,3,100,0.67,1196.40,2144.05
28,1,4,20,0.7,88.56,139.09
29,1,4,30,0.71,132.84,208.64
30,1,4,40,0.71,177.12,278.19
31,1,4,50,0.71,221.4,347.73
32,1,4,60,0.71,265.69,417.28
33,1,4,70,0.72,309.97,486.83
34,1,4,80,0.71,354.25,556.37
35,1,4,90,0.72,398.53,625.92
36,1,4,100,0.71,442.81,695.46
37,2,2,20,0.72,135.38,210.91
38,2,2,30,0.73,203.07,316.36
39,2,2,40,0.72,270.75,421.81
40,2,2,50,0.73,338.44,527.27
41,2,2,60,0.73,406.13,632.72
42,2,2,70,0.73,473.82,738.17
43,2,2,80,0.73,541.51,843.63
44,2,2,90,0.73,609.2,949.08
45,2,2,100,0.73,676.88,1054.53
46,2,3,20,0.72,215.5,391.48
47,2,3,30,0.72,323.25,587.22
48,2,3,40,0.73,431,782.96
49,2,3,50,0.73,538.76,978.7
50,2,3,60,0.73,646.51,1174.44
51,2,3,70,0.74,754.26,1370.18
52,2,3,80,0.71,862.01,1565.92
53,2,3,90,0.75,969.76,1761.66
54,2,3,100,0.73,1077.51,1957.40
55,2,4,20,0.71,148.56,214.01
56,2,4,30,0.72,222.84,321.02
57,2,4,40,0.73,297.12,428.03
58,2,4,50,0.72,371.4,535.03
59,2,4,60,0.72,445.68,642.04
60,2,4,70,0.73,519.96,749.05
61,2,4,80,0.72,594.24,856.06
62,2,4,90,0.73,668.53,963.06
63,2,4,100,0.73,742.81,1070.07
64,3,2,20,0.75,182.4,307.12
65,3,2,30,0.74,273.6,460.68
66,3,2,40,0.75,364.8,614.24
67,3,2,50,0.75,456,767.8
68,3,2,60,0.75,547.2,921.36
69,3,2,70,0.76,638.4,1074.92
70,3,2,80,0.76,729.59,1228.48
71,3,2,90,0.76,820.79,1382.04
72,3,2,100,0.75,911.99,1535.60
73,3,3,20,0.76,187.25,336.83
74,3,3,30,0.75,280.87,505.25
75,3,3,40,0.76,374.49,673.66
76,3,3,50,0.76,468.12,842.08
77,3,3,60,0.75,561.74,1010.50
78,3,3,70,0.76,655.36,1178.91
79,3,3,80,0.7,748.99,1347.33
80,3,3,90,0.61,842.61,1515.74
81,3,3,100,0.19,936.23,1684.16
82,3,4,20,0.74,196.56,308.58
83,3,4,30,0.75,294.84,462.87
84,3,4,40,0.75,393.13,617.16
85,3,4,50,0.74,491.41,771.45
86,3,4,60,0.75,589.69,925.74
87,3,4,70,0.76,687.97,1080.03
88,3,4,80,0.76,786.25,1234.32
89,3,4,90,0.75,884.53,1388.61
90,3,4,100,0.73,982.81,1542.89
91,4,2,20,0.76,208.58,372.27
92,4,2,30,0.76,312.87,558.41
93,4,2,40,0.75,417.17,744.54
94,4,2,50,0.76,521.46,930.68
95,4,2,60,0.74,625.75,1116.81
96,4,2,70,0.76,730.04,1302.95
97,4,2,80,0.75,834.33,1489.08
98,4,2,90,0.77,938.62,1675.22
99,4,2,100,0.77,1042.91,1861.35
100,4,3,20,0.62,143.89,251.77
101,4,3,30,0.7,215.84,377.66
102,4,3,40,0.76,287.78,503.54
103,4,3,50,0.76,359.73,629.43
104,4,3,60,0.73,431.67,755.32
105,4,3,70,0.76,503.62,881.2
106,4,3,80,0.69,575.56,1007.09
107,4,3,90,0.75,647.51,1132.97
108,4,3,100,0.76,719.46,1258.86
109,4,4,20,0.74,208.58,377.2
110,4,4,30,0.75,312.87,565.8
111,4,4,40,0.75,417.17,754.4
112,4,4,50,0.75,521.46,942.99
113,4,4,60,0.75,625.75,1131.59
114,4,4,70,0.75,730.04,1320.19
115,4,4,80,0.75,834.33,1508.79
116,4,4,90,0.75,938.62,1697.39
117,4,4,100,0.76,1042.92,1885.99
